OTUID	MNAW0514.1	MNAW0514.2	MNAW0515.1	MNAW0515.2	MNAW0914.1	MNAW0914.2	MNAW0915.1	MNAW0915.2	MNAW1214.1	MNAW1214.2	NAW0514.1	NAW0514.2	NAW0515.1	NAW0515.2	NAW0914.1	NAW0914.2	NAW0915.1	NAW0915.2	NAW1214.1	NAW1214.2	NSAIW0514.1	NSAIW0514.2	NSAIW0515.1	NSAIW0515.2	NSAIW0914.1	NSAIW0914.2	NSAIW0915.1	NSAIW0915.2	NSAIW1214.1	NSAIW1214.2	NSDW0514.1	NSDW0514.2	NSDW0515.1	NSDW0515.2	NSDW0914.1	NSDW0914.2	NSDW0915.1	NSDW0915.2	NSDW1214.1	NSDW1214.2
zASV535	23	11	15	12	2	3	22	42	24	18	7	2	22	26	5	10	13	22	17	10	15	16	17	27	15	9	57	53	30	10	7	10	11	10	6	105	9	16	20	7
zASV536	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	25	12	17	19	5	7	42	50	8	2	43	6	20	13	0	50	27	27	27	6
zASV537	31	0	0	1	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	2	31	57	0	1	0	0	0	0	0	29	673	162	0	0	1	4	0	0	3	37
zASV538	2	5	1	15	52	26	1208	1706	24	4	6	1	14	18	225	227	40	102	18	81	569	479	6	7	53	43	28	19	89	6	41	7	17	11	347	398	12	6	5	7
zASV539	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	66	53	7	6	20	5	18	7	15	5	102	50	57	27	9	199	76	25	72	27
zASV54	0	0	0	4	2	6	0	1	12	0	0	0	3	4	0	0	0	0	3	2	13	4	0	12	5	2	0	0	1	4	1	2	23	1	6	4779	0	0	9	16
zASV541	0	0	2	14	2	3	0	0	2	0	0	1	81	18	6	1	0	0	1	1	0	0	10	6	11	1	0	0	13	3	2	0	24	77	10	631	0	0	7	6
zASV542	13	0	4	22	12	11	42	77	66	36	0	0	11	10	8	2	3	16	2	2	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0
zASV543	66	154	37	125	13	51	175	224	172	81	166	78	90	78	116	68	111	183	122	89	2	0	6	5	8	10	10	9	38	7	1	1	4	5	3	92	3	8	15	4
zASV544	1	0	4	11	0	5	0	0	0	0	0	0	18	24	0	0	0	0	0	1	0	0	4	9	3	6	0	0	3	0	0	0	15	44	3	59	0	0	3	2
zASV545	28	0	2	14	3	5	17	13	17	6	3	5	27	27	10	7	8	16	22	7	18	31	14	21	21	15	42	29	38	7	15	17	30	6	6	145	35	22	25	2
zASV546	14	0	3	6	6	8	30	66	39	20	0	0	11	9	1	5	5	13	5	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
zASV547	77	214	20	100	39	38	60	72	101	58	16	14	112	144	77	66	87	193	49	40	62	33	81	119	62	47	99	76	102	20	58	30	62	20	22	347	58	33	62	7
zASV548	30	232	9	67	4	24	198	283	62	34	7	4	39	41	65	78	43	126	58	56	2	0	9	6	5	12	4	6	1	0	6	0	4	1	0	1	4	4	3	0
zASV549	148	98	73	105	22	35	243	355	127	74	95	30	284	324	42	27	61	109	134	110	0	1	0	1	3	0	1	8	0	0	0	1	2	0	0	3	3	2	0	0
zASV55	9	0	1	18	1	0	2	2	2	2	49	22	1	5	3	10	2	1	12	12	2564	3596	1	18	4	6	1	0	3	57	296	64	2	2	120	298	1	0	78	34
zASV550	66	21	23	69	11	12	135	183	79	42	105	43	291	395	89	69	102	166	342	286	2	1	0	4	0	1	5	3	2	3	0	5	0	0	0	9	2	4	3	0
zASV551	240	0	11	18	21	12	108	135	37	16	174	167	36	40	21	16	47	40	65	38	0	0	0	0	0	2	1	0	0	0	7	0	1	0	0	3	1	0	0	0
